stop_id,stop_code,stop_name,stop_lat,stop_lon
12000780,PJ263,SMK SULTAN ABD SAMAD (BARAT),3.11827100,101.64507370
12000781,PJ239,PUSAT ASASI MAHALLAH AISYAH UIA,3.11961100,101.64320350
12000782,PJ619,EASTIN HOTEL,3.12830400,101.64286000
12000783,PJ539,1POWERHOUSE (OPP),3.14495500,101.61712800
12000784,PJ537,FIRST AVENUE,3.14776700,101.61463200
12000786,SA1021,KOMPLEKS SURAU DARUS SALIM,3.15364700,101.55300100
12000787,SA1024,KORMERSIAL SUBANG BESTARI,3.17791200,101.54847200
12000788,SA1026,HELP UNIVERSITY,3.17785300,101.54878700
12000789,SA738,KOMERSIAL BULAN U5/164 (SELATAN),3.16426300,101.54948700
12000790,SA740,KOMERSIAL BULAN U5/J (SELATAN),3.16126000,101.54810200
12000791,SA674,REST. NASI KANDAR,3.14102600,101.54666100
12000792,SA1028,GALERI PERABOT,3.13956300,101.54842900
12000793,SA902,(M1) MAS HQ,3.13082500,101.55597000
12000795,SA1029,WESTSTAR,3.13936500,101.54846500
12000796,SA604,REST. NASI KANDAR (OPP),3.14083800,101.54659200
12000797,KL1109,PERPUSTAKAAN UM,3.12112000,101.65358020
12000798,KL2342,INSTITUT PENGAJIAN SISWAZAH,3.12455500,101.66009400
12000799,KL2343,KOLEJ KEDIAMAN KELIMA,3.12670000,101.65974500
12000800,KL2344,PUSAT SUKAN UM,3.12938200,101.66016600
12000801,KL2345,KOLEJ KEDIAMAN KESEPULUH,3.12986700,101.65051600
12000802,KL2346,FAKULTI SAINS KOMPUTER,3.12769200,101.65026100
12000803,KL2347,FAKULTI PENGAJIAN MELAYU,3.12619100,101.65160100
12000804,KL2348,(M1) KOLEJ KEDIAMAN KEEMPAT,3.12438700,101.65154300
12000805,PJ824,TROPICANA AVENUE,3.13706900,101.59518200
12000806,PJ825,MENARA LIEN HOE,3.13069300,101.59471400
12000807,PJ826,DAMANSARA LAGENDA,3.12466500,101.59329800
12000808,PJ827,IDAMAN VILLAS,3.12113400,101.59208700
12000809,PJ828,TAIPAN 1 (OPP),3.11950900,101.59060900
12000810,PJ829,WINCHESTER,3.11804000,101.59106700
12000811,PJ671,LRT LEMBAH SUBANG,3.11210600,101.59066100
12000812,PJ672,PUSAT DAGANGAN NZX,3.11451700,101.59090100
12000813,PJ673,WHINCHESTER (OPP),3.11770900,101.59083500
12000815,PJ400,ARA PERMATA,3.11819600,101.58864000
12000816,PJ830,BALAI POLIS ARA DAMANSARA,3.11750200,101.58457400
12000817,PJ831,(M1) DATARAN ARA DAMANSARA,3.12026100,101.57997500
12000818,PJ19,ARA VISTA,3.12219500,101.58184100
12000819,PJ832,ARA PUTRA (OPP),3.12349400,101.58463400
12000820,PJ20,MAISSON CONDO,3.12173200,101.58883300
12000821,PJ833,TAIPAN 1,3.11981600,101.59060200
12000822,PJ834,DAMANSARA IDAMAN,3.12202300,101.59238000
12000823,PJ835,DAMANSARA LAGENDA (OPP),3.12466400,101.59304900
12000825,PJ784,PRIMA DAMANSARA,3.19823100,101.59915800
12000826,PJ49,APT LESTARI,3.19661100,101.59413200
12000827,PJ52,APT IDAMAN,3.19065900,101.59236600
12000828,PJ53,APT IMPIAN,3.19197500,101.58851900
12000829,PJ54,APT PERMAI,3.19424200,101.58822800
12000830,PJ62,APT LESTARI (OPP),3.19720000,101.59398600
12000833,PJ347,PUSAT PERNIAGAAN SS2 (SELATAN),3.11727820,101.62097770
12000834,PJ803,KUARTERS GURU BANDAR UTAMA,3.13175000,101.60689300
12000835,PJ836,WESTPOINT,3.12940900,101.60673500
12000836,PJ804,MASJID BANDAR UTAMA,3.12622200,101.60629800
12000837,PJ842,PERUMAHAN BU 12/7,3.12528600,101.60431600
12000838,PJ805,MUTIARA TROPICANA (1),3.12875300,101.59972100
12000839,PJ515,SMK TROPICANA,3.12885100,101.59847700
12000840,PJ516,BAYU PUTERI APARTMENT,3.13194200,101.59740200
12000841,PJ522,MERCHANT SQUARE,3.13255500,101.60096500
12000842,PJ523,ASRAMA TROPICANA,3.13189300,101.60037400
12000843,PJ525,KOMERSIAL MUTIARA TROPICANA,3.12919600,101.59906900
12000844,PJ837,(M1) MUTIARA TROPICANA (2),3.12935600,101.60049200
12000845,PJ838,PERUMAHAN BU 11/12,3.12547600,101.60426200
12000846,PJ839,MASJID BANDAR UTAMA (OPP),3.12645400,101.60621400
12000847,PJ840,PERUMAHAN BU 11/7,3.12981800,101.60647100
12000848,PJ841,PERUMAHAN BU 11/1,3.13144800,101.60661200
12000849,KJ486,KLINIK KESIHATAN KAJANG,2.97798060,101.82597000
12000850,KJ498,KLINIK KESIHATAN KAJANG,2.97800000,101.82563000
12000851,KJ485,TAMAN MAJU KAJANG,2.97978070,101.82066000
12000852,KJ499,TAMAN MAJU KAJANG,2.97970560,101.82004000
12000853,KJ500,KAJANG PRIMA,2.98365550,101.81567400
12000854,KJ484,KAJANG PRIMA,2.98421380,101.81513000
12000855,KJ483,KOLEJ VOKASIONAL KAJANG,2.98549720,101.81312000
12000856,KJ501,KOLEJ VOKASIONAL KAJANG,2.98582500,101.81241000
12000857,KJ482,TAMAN RESTU 7,2.98755550,101.80795000
12000858,KJ502,TAMAN RESTU 7,2.98736950,101.80754000
12000859,KJ28,SUNWAY CHERAS,3.08207770,101.76720400
12000860,AJ314,BAYU MAS,3.09134170,101.75232000
12000861,AJ443,BAYU MAS,3.09158900,101.75208000
12000862,AJ315,FLAT TAMAN BUKIT SEGAR,3.08980560,101.75165000
12000863,AJ320,FLAT TAMAN BUKIT SEGAR,3.08992500,101.75145000
12000866,KJ16,TAMAN CUEPACS (SELATAN),3.08036400,101.76165000
12000867,KJ15,TAMAN CUEPACS (UTARA),3.08017780,101.76147000
12000868,KJ7,KOMERSIAL CHERAS AWANA,3.08940840,101.76108000
12000871,KJ33,SEGAR PERDANA 7 (SELATAN),3.08828620,101.76057400
12000872,KJ34,SEGAR PERDANA 7 (UTARA),3.08834170,101.76045000
12000873,KJ14,TAMAN FERNGROVE (SELATAN),3.08265570,101.76027000
12000874,KJ13,TAMAN FERNGROVE (UTARA),3.08236120,101.76016000
12000875,KJ18,S.K. TAMAN CUEPACS (OPP),3.07923600,101.76012000
12000876,KJ3,TMN BKT SEGAR JAYA 2,3.09479170,101.75969000
12000877,KJ35,TMN BKT SEGAR JAYA 2,3.09485000,101.75957500
12000878,KJ288,PANGSAPURI LAGENDA MAS,3.06509450,101.75933000
12000879,KJ20,S.K. TAMAN CUEPACS,3.07953050,101.75892000
12000880,KJ292,SRA TMN TUN PERAK,3.06201100,101.75802000
12000882,KJ1,CEMARA APARTMENT,3.09466670,101.75759000
12000883,KJ297,PANGSAPURI SRI MESRA,3.06121400,101.75753000
12000884,KJ21,MASJID AL-AMIN (OPP),3.07922220,101.75752000
12000885,KJ22,MASJID AL-AMIN,3.07892780,101.75730000
12000886,KJ23,MARKAS P.G.A,3.07775830,101.75598000
12000887,KJ711,MAKTAB PDRM K.L,3.07623340,101.75461600
12000888,AJ313,THE MARK CHERAS (OPP),3.09401940,101.75368000
12000889,AJ321,THE MARK CHERAS,3.09382220,101.75334000
12000890,KL758,TAMAN CONNAUGHT (BARAT),3.08176950,101.73603000
12000891,KL752,TAMAN CONNAUGHT (BARAT),3.08207230,101.73595000
12000892,KJ712,CHERAS ZEN PARK,3.07852770,101.74995000
12000893,KL133,TAMAN CHERAS UTAMA (UTARA),3.10461660,101.74970000
12000894,AJ316,CENGAL APARTMENT,3.08863880,101.74901000
12000895,KL923,KETUMBAR HILL (UTARA),3.10425830,101.74871000
12000896,AJ319,CENGAL APARTMENT,3.08835840,101.74799000
12000899,KL755,TAMAN BUKIT HIJAU,3.08607500,101.74153000
12000900,KL1723,CHERAS LEISURE MALL,3.08854720,101.74103000
12000901,KL132,HOSPITAL PANTAI CHERAS,3.10188600,101.74100500
12000902,KL131,CHERAS BUSINESS CENTER (BARAT),3.10012770,101.74052400
12000903,KL754,TAMAN TAYNTON VIEW (TIMUR),3.08776950,101.73924000
12000904,KL753,UCSI UNIVERSITY,3.08525820,101.73678000
12000905,KL2222,TAMAN TAYNTON VIEW (BARAT),3.08758330,101.73672500
12000906,KL1784,APARTMENT DESA TUN RAZAK,3.07910280,101.71921000
12000907,KL1785,APARTMENT DESA TUN RAZAK,3.07918620,101.71878000
12000908,KL751,IKON CONNAUGHT (OPP),3.08212780,101.73231500
12000909,KL759,IKON CONNAUGHT,3.08185550,101.73189500
12000910,KL1786,DTR APARTMENT,3.07825280,101.71763000
12000911,KL2168,DESA TUN RAZAK (UTARA),3.08097220,101.72257000
12000912,KL2167,DESA TUN RAZAK (UTARA),3.08046940,101.72204600
12000913,KL152,(M1) LRT BANDAR TASIK SELATAN,3.07610560,101.71206000
12000914,KL421,KOMERSIAL DAMAI PERDANA,3.05487230,101.74326000
12000915,KJ490,KOMERSIAL BANDAR TEKNOLOGI,2.97296300,101.82849000
12000916,KJ900,APARTMENT SERI BAIDURI,2.97101600,101.82695000
12000917,KJ911,MYDIN MALL,2.97584800,101.82538600
12000918,KJ491,SURAU AL-HIDAYAH,2.96859900,101.82526400
12000919,KJ496,SIMPANG JLN 3/20,2.96884700,101.82515000
12000920,KJ909,PANGSAPURI VISTA PERDANA,2.97013700,101.82468400
